  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                        
18943 tes       20   0 1082m 270m  42m R 34.1  1.7   0:15.95 firefox                                                                                         
 4996 tes       20   0  121m 5128 2000 R 33.1  0.0   3628:15 tclsh                                                                                           
29658 tes       20   0  121m 5456 2000 R 33.1  0.0   5571:23 tclsh                                                                                           
31810 tes       20   0  121m 5128 2000 R 33.1  0.0  13728:14 tclsh                                                                                           
32606 tes       20   0  121m 5452 2000 R 33.1  0.0   3634:29 tclsh                                                                                           
 2416 tes       20   0  121m 5456 2000 R 32.8  0.0   8334:30 tclsh                                                                                           
29625 tes       20   0  121m 5536 2000 R 32.8  0.0   5576:09 tclsh                                                                                           
 5790 tes       20   0  121m 5120 2000 R 32.4  0.0   3582:43 tclsh                                                                                           
 2437 tes       20   0  121m 5532 2000 R 32.1  0.0   8344:43 tclsh                                                                                           
 4936 tes       20   0  121m 5128 2000 R 32.1  0.0   3649:01 tclsh                                                                                           
32688 tes       20   0  121m 5536 2000 R 32.1  0.0   3621:17 tclsh                                                                                           
32652 tes       20   0  121m 5452 2000 R 31.8  0.0   3691:07 tclsh                                                                                           
  429 root      20   0     0    0    0 S  2.6  0.0 206:08.90 flush-8:0                                                                                       
 5105 tes       20   0  326m 221m 8872 S  1.7  1.4 211:06.00 Xvnc                                                                                            
 6314 tes       20   0 1039m 250m  42m S  1.3  1.6   7:40.80 firefox                                                                                        
 6560 tes       20   0 1036m 248m  42m S  0.7  1.5   5:55.60 firefox                                                                                         
    1 root      20   0 30428 1508 1288 S  0.0  0.0   0:08.24 init                                                                                            
    2 root      20   0     0    0    0 S  0.0  0.0   0:00.09 kthreadd                                                                                        
    3 root      RT   0     0    0    0 S  0.0  0.0   5:24.89 migration/0                                                                                     
    4 root      20   0     0    0    0 S  0.0  0.0   2:37.58 ksoftirqd/0                                                                                     
    5 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/0                                                                                       
    6 root      RT   0     0    0    0 S  0.0  0.0   8:15.66 watchdog/0                                                                                      
    7 root      RT   0     0    0    0 S  0.0  0.0   1:14.94 migration/1                                                                                     
    8 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/1                                                                                          
 6090 tes       20   0 1036m 263m  42m S  1.0  1.6   7:46.36 firefox                                                    
    9 root      20   0     0    0    0 S  0.0  0.0   0:44.14 ksoftirqd/1
